instantane_utc,stations,part_vides,part_pleines
2026-09-22 13:28:47,52,0.1346,0.0
2026-09-22 13:29:47,52,0.1346,0.0
2026-09-22 13:30:48,52,0.1346,0.0
2026-09-22 13:31:48,52,0.1346,0.0
2026-09-22 13:32:48,52,0.1346,0.0
2026-09-22 13:33:49,52,0.1346,0.0
2026-09-22 13:34:49,52,0.1346,0.0
2026-09-22 13:35:49,52,0.1346,0.0
2026-09-22 13:36:49,52,0.1346,0.0
2026-09-22 13:37:50,52,0.1346,0.0
2026-09-22 13:38:50,52,0.1346,0.0
2026-09-22 13:39:50,52,0.1346,0.0
2026-09-22 13:40:50,52,0.1346,0.0
2026-09-22 13:41:50,52,0.1346,0.0
2026-09-22 13:42:51,52,0.1346,0.0
2026-09-22 13:43:51,52,0.1346,0.0
2026-09-22 13:44:52,52,0.1346,0.0
2026-09-22 13:45:52,52,0.1346,0.0
2026-09-22 13:46:52,52,0.1346,0.0
2026-09-22 13:47:52,52,0.1346,0.0
2026-09-22 13:48:53,52,0.1346,0.0
2026-09-22 13:49:53,52,0.1346,0.0
2026-09-22 13:50:53,52,0.1346,0.0
2026-09-22 13:51:53,52,0.1346,0.0
2026-09-22 13:52:54,52,0.1346,0.0
2026-09-22 13:53:54,52,0.1346,0.0
2026-09-22 13:54:54,52,0.1346,0.0
2026-09-22 13:55:55,52,0.1346,0.0
2026-09-22 13:56:55,52,0.1346,0.0
2026-09-22 13:57:55,52,0.1346,0.0
2026-09-22 13:58:55,52,0.1346,0.0
2026-09-22 13:59:56,52,0.1346,0.0
2026-09-22 14:00:56,52,0.1346,0.0
2026-09-22 14:01:56,52,0.1346,0.0
2026-09-22 14:02:56,52,0.1346,0.0
2026-09-22 14:03:57,52,0.1346,0.0
2026-09-22 14:04:57,52,0.1346,0.0
2026-09-22 14:05:57,52,0.1346,0.0
2026-09-22 14:06:57,52,0.1346,0.0
2026-09-22 14:07:57,52,0.1346,0.0
2026-09-22 14:08:58,52,0.1538,0.0
2026-09-22 14:09:58,52,0.1538,0.0
2026-09-22 14:10:58,52,0.1538,0.0
2026-09-22 14:11:58,52,0.1538,0.0
